,,,Normalised retweets,Norm likes,weighted score,,SQUARED ERROR,,,,SUMS,,,,MSE,,
2.58E-01,2.24E-01,3.43E-01,0.139845347,0.287148245,0.184036216,,1.39E-02,4.00E-03,2.54E-02,,,,,,,,
1.78E-01,1.53E-01,2.42E-01,0.139608331,0.284374632,0.183038221,,1.50E-03,1.73E-02,3.48E-03,,,,,,,,
1.33E-01,1.13E-01,1.81E-01,0.146872871,0.267070256,0.182932086,,2.01E-04,2.39E-02,3.42E-06,,,,,,,,
1.78E-01,1.52E-01,2.41E-01,0.138529908,0.280418908,0.181096608,,1.53E-03,1.65E-02,3.60E-03,,,,,,,,
1.56E-01,1.33E-01,2.12E-01,0.138298818,0.279761326,0.18073757,,3.13E-04,2.15E-02,1.01E-03,,,,,,,,
2.33E-01,2.02E-01,3.13E-01,0.143714633,0.266351266,0.180505623,,8.03E-03,4.16E-03,1.76E-02,,,,,,,,
3.54E-01,3.13E-01,4.58E-01,0.134322875,0.288005404,0.180427634,,4.83E-02,6.43E-04,7.72E-02,,,,,,,,
8.83E-02,7.43E-02,1.20E-01,0.145320416,0.261474416,0.180166616,,3.25E-03,3.50E-02,3.58E-03,,,,,,,,
1.90E-01,1.63E-01,2.57E-01,0.136847095,0.281160926,0.180141244,,2.83E-03,1.39E-02,5.96E-03,,,,,,,,
2.05E-01,1.77E-01,2.77E-01,0.15198649,0.245623372,0.180077555,,2.83E-03,4.77E-03,9.41E-03,,,,,,,,
2.06E-01,1.78E-01,2.78E-01,0.122252837,0.312699257,0.179386763,,7.06E-03,1.83E-02,9.82E-03,,,,,,,,
1.11E-01,9.35E-02,1.51E-01,0.145035997,0.259143455,0.179268234,,1.18E-03,2.74E-02,7.97E-04,,,,,,,,
1.67E-01,1.43E-01,2.27E-01,0.137297425,0.277005624,0.179209885,,8.81E-04,1.80E-02,2.29E-03,,,,,,,,
1.99E-01,1.71E-01,2.69E-01,0.15072438,0.243335909,0.178507839,,2.32E-03,5.23E-03,8.18E-03,,,,,,,,
1.76E-01,1.50E-01,2.39E-01,0.146896572,0.251889588,0.178394477,,8.35E-04,1.03E-02,3.64E-03,,,,,,,,
8.36E-02,7.02E-02,1.14E-01,0.128515984,0.294427699,0.178289498,,2.02E-03,5.03E-02,4.16E-03,,,,,,,,
1.68E-01,1.43E-01,2.28E-01,0.131875685,0.286531602,0.17827246,,1.29E-03,2.05E-02,2.49E-03,,,,,,,,
1.95E-01,1.68E-01,2.64E-01,0.152383492,0.236767769,0.177698775,,1.82E-03,4.79E-03,7.44E-03,,,,,,,,
2.02E-01,1.74E-01,2.73E-01,0.146262554,0.246982033,0.176478398,,3.12E-03,5.35E-03,9.34E-03,,,,,,,,
2.64E-01,2.30E-01,3.51E-01,0.149189702,0.239285513,0.176218445,,1.32E-02,9.28E-05,3.06E-02,,,,,,,,
1.15E-01,9.74E-02,1.57E-01,0.136639706,0.267326125,0.175845632,,4.63E-04,2.89E-02,3.48E-04,,,,,,,,
8.38E-02,7.05E-02,1.14E-01,0.143234675,0.249423017,0.175091178,,3.53E-03,3.20E-02,3.72E-03,,,,,,,,
1.76E-01,1.51E-01,2.39E-01,0.14204367,0.25147764,0.174873861,,1.17E-03,1.01E-02,4.15E-03,,,,,,,,
4.39E-02,3.66E-02,5.87E-02,0.148964536,0.23464662,0.174669162,,1.10E-02,3.92E-02,1.34E-02,,,,,,,,
1.61E-01,1.38E-01,2.20E-01,0.137202619,0.261996387,0.174640749,,5.81E-04,1.55E-02,2.02E-03,,,,,,,,
1.75E-01,1.50E-01,2.38E-01,0.1291263,0.279710152,0.174301456,,2.10E-03,1.69E-02,4.01E-03,,,,,,,,
1.49E-01,1.27E-01,2.04E-01,0.131117234,0.27400173,0.173982583,,3.36E-04,2.15E-02,8.82E-04,,,,,,,,
2.22E-01,1.92E-01,2.98E-01,0.138446953,0.25341968,0.172938771,,6.95E-03,3.83E-03,1.57E-02,,,,,,,,
2.46E-01,2.13E-01,3.29E-01,0.137966996,0.253946769,0.172760928,,1.16E-02,1.67E-03,2.43E-02,,,,,,,,
2.44E-01,2.11E-01,3.26E-01,0.123070542,0.28869369,0.172757486,,1.46E-02,5.98E-03,2.36E-02,,,,,,,,
2.29E-01,1.98E-01,3.07E-01,0.117026635,0.30116983,0.172269593,,1.25E-02,1.07E-02,1.82E-02,,,,,,,,
1.87E-01,1.61E-01,2.54E-01,0.126323586,0.277553182,0.171692465,,3.72E-03,1.37E-02,6.75E-03,,,,,,,,
2.30E-01,1.99E-01,3.09E-01,0.142873226,0.238645842,0.171605011,,7.56E-03,1.60E-03,1.88E-02,,,,,,,,
2.72E-01,2.37E-01,3.61E-01,0.143495393,0.237028754,0.171555401,,1.64E-02,7.98E-08,3.58E-02,,,,,,,,
2.60E-01,2.26E-01,3.47E-01,0.12289278,0.279925082,0.17000247,,1.88E-02,2.88E-03,3.12E-02,,,,,,,,
6.76E-02,5.66E-02,9.16E-02,0.148620863,0.219716703,0.169949615,,6.56E-03,2.66E-02,6.13E-03,,,,,,,,
2.02E-01,1.73E-01,2.72E-01,0.142873226,0.231714369,0.169525569,,3.44E-03,3.41E-03,1.06E-02,,,,,,,,
1.97E-01,1.70E-01,2.67E-01,0.160850887,0.187850859,0.168950879,,1.33E-03,3.33E-04,9.60E-03,,,,,,,,
2.53E-01,2.20E-01,3.38E-01,0.144650846,0.225309984,0.168848587,,1.18E-02,2.96E-05,2.86E-02,,,,,,,,
8.27E-02,6.95E-02,1.13E-01,0.138263265,0.238766101,0.168414116,,3.09E-03,2.87E-02,3.12E-03,,,,,,,,
2.88E-02,2.39E-02,3.80E-02,0.100174799,0.326685021,0.168127866,,5.09E-03,9.17E-02,1.69E-02,,,,,,,,
1.97E-01,1.69E-01,2.67E-01,0.121405505,0.277077267,0.168107033,,5.74E-03,1.16E-02,9.72E-03,,,,,,,,
1.81E-02,1.50E-02,2.34E-02,0.137652949,0.238088049,0.167783479,,1.43E-02,4.98E-02,2.08E-02,,,,,,,,
1.85E-01,1.59E-01,2.51E-01,0.128278968,0.259012962,0.167499166,,3.23E-03,1.01E-02,6.97E-03,,,,,,,,
2.31E-01,1.99E-01,3.09E-01,0.124711877,0.266691571,0.167305786,,1.12E-02,4.53E-03,2.02E-02,,,,,,,,
1.48E-02,1.22E-02,1.89E-02,0.118999793,0.278571538,0.166871316,,1.09E-02,7.10E-02,2.19E-02,,,,,,,,
2.09E-01,1.80E-01,2.82E-01,0.13417474,0.242660417,0.166720443,,5.62E-03,3.91E-03,1.33E-02,,,,,,,,
1.61E-01,1.37E-01,2.19E-01,0.145592984,0.216014288,0.166719375,,2.30E-04,6.21E-03,2.71E-03,,,,,,,,
9.33E-02,7.86E-02,1.27E-01,0.12326608,0.267285186,0.166471812,,8.95E-04,3.56E-02,1.54E-03,,,,,,,,
1.38E-01,1.17E-01,1.88E-01,0.135105028,0.234406104,0.164895351,,8.43E-06,1.37E-02,5.47E-04,,,,,,,,
2.09E-01,1.80E-01,2.82E-01,0.099019346,0.316670334,0.164314643,,1.22E-02,1.86E-02,1.39E-02,,,,,,,,
4.97E-02,4.15E-02,6.68E-02,0.14048529,0.219568299,0.164210193,,8.24E-03,3.17E-02,9.48E-03,,,,,,,,
1.12E-02,9.21E-03,1.41E-02,0.133789589,0.234661972,0.164051304,,1.50E-02,5.08E-02,2.25E-02,,,,,,,,
